CURRENT_TIMESTAMP,Admin,1,Failed Login
06-05-2026 23:58:31,Patient,1,Failed Login
07-05-2026 00:00:40,Patient,1,Failed Login
07-05-2026 00:04:15,Patient,1,Failed Login
07-05-2026 00:05:16,Patient,1,Failed Login
07-05-2026 00:05:17,Patient,1,LOCKED OUT - 3 Fails
07-05-2026 00:05:56,Doctor,1,Failed Login
07-05-2026 00:06:10,Doctor,1,Failed Login
07-05-2026 00:12:08,Patient,1,Failed Login
07-05-2026 00:13:52,Patient,1,Failed Login
07-05-2026 00:24:45,Patient,1,Failed Login
07-05-2026 00:25:02,Patient,1,Failed Login
07-05-2026 00:25:23,Doctor,1,LOCKED OUT - 3 Fails
08-05-2026 15:55:03,Doctor,2,Failed Login
08-05-2026 15:55:07,Doctor,2,Failed Login
08-05-2026 15:55:14,Doctor,2,LOCKED OUT - 3 Fails
08-05-2026 15:55:53,Doctor,2,Failed Login
08-05-2026 15:56:01,Doctor,2,Failed Login
10-05-2026 16:57:45,Patient,1,Failed Login
10-05-2026 17:54:43,Patient,1,FAILED
10-05-2026 17:54:47,Patient,1,FAILED
10-05-2026 17:54:52,Patient,1,FAILED
10-05-2026 17:55:40,Admin,1,SUCCESS
10-05-2026 17:58:47,Doctor,1,SUCCESS
10-05-2026 18:19:49,Admin,1,SUCCESS
10-05-2026 18:21:19,Patient,1,SUCCESS
10-05-2026 18:21:36,Admin,1,SUCCESS
10-05-2026 18:21:59,Doctor,1,FAILED
10-05-2026 18:53:18,Admin,1,FAILED
10-05-2026 18:53:25,Admin,1,FAILED
10-05-2026 18:53:35,Admin,1,SUCCESS
10-05-2026 18:58:46,Admin,1,SUCCESS
10-05-2026 19:00:25,Patient,1,SUCCESS
10-05-2026 19:01:57,Patient,2,FAILED
10-05-2026 19:02:05,Patient,1,SUCCESS
10-05-2026 19:02:24,Doctor,1,SUCCESS
10-05-2026 19:05:56,Patient,1,FAILED
10-05-2026 19:06:02,Patient,1,FAILED
10-05-2026 19:06:13,Doctor,2,SUCCESS
10-05-2026 19:06:28,Patient,1,SUCCESS
10-05-2026 19:45:06,Patient,1,SUCCESS
10-05-2026 19:46:21,Doctor,2,SUCCESS
10-05-2026 19:46:54,Patient,1,SUCCESS
10-05-2026 19:47:58,Doctor,1,SUCCESS
10-05-2026 19:49:07,Patient,1,SUCCESS
